Altium Designer Pick and Place Locations
C:\Users\delta\AppData\Local\TempReleases\Snapshot\2\Assembly\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       02/02/23
Time:       14:05
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U4","OPSCO SK6805-EC14","TopLayer","New_footprint_1","6.0000","5.5000","0","1.4mm x 1.4mm RGB LED"
"R4","ERJ-P03F3300V","TopLayer","0603-RES","11.7500","4.5068","90","PANASONIC   ERJP03F3300V   RESISTOR, THICK FILM, 330 OHM, 0.2W, 1%"
"F3","T0603FF1000TM","BottomLayer","CAPC1608X90X35NL15T15","5.2500","31.0000","270","FastBlow 13A SMD Fuse 1A 0.042 69m´Î 0603 Fuses ROHS"
"D1","19-217/GHC-YN1P2B18X/3T","TopLayer","PCB-qrh50x9m6cshxb6d9t7t-1","9.0003","5.5003","0","2mA 525nm Colorless transparence -40?~+85? Positive post 520nm~535nm Emerald 120° 95mW 0603 Light Emitting Diodes (LED) ROHS"
"C23","10 uf","TopLayer","PCB-2sbl9jnrnicgpdohsx1t-1","11.7500","7.5000","225","Ceramic capacitor SMD-0603 10uF /6.3V X5R# M +-20%, Samsung, RoHS"
"C22","4.7 uf","BottomLayer","PCB-0wz5cygkzjk26dn1bz6x-1","8.0000","18.5000","135","CAP, 4.7UF, 16V, MLCC, 0603; SVHC: No SVHC (15-Jan-2019) RoHS Compliant: Yes"
"C21","100 nf","BottomLayer","CAPC1608X87X35LL15T15","10.5000","17.0000","315","Ceramic capacitor SMD-0603 100nF /50V X7R# K +-10%, Samsung, RoHS"
"C20","100 nf","BottomLayer","CAPC1608X87X35LL15T15","6.0000","17.4000","135","Ceramic capacitor SMD-0603 100nF /50V X7R# K +-10%, Samsung, RoHS"
"C19","100 nf","BottomLayer","CAPC1608X87X35LL15T15","6.5000","15.2500","45","Ceramic capacitor SMD-0603 100nF /50V X7R# K +-10%, Samsung, RoHS"
"C18","1 uf","BottomLayer","CAPC1608X90X35LL15T15","7.5000","14.2500","225","CL10 Series 1 uF 16 V ±10 % Tolerance X5R SMT Multilayer Ceramic Capacitor"
"C17","10 uf","BottomLayer","PCB-2sbl9jnrnicgpdohsx1t-1","8.2500","11.0000","225","Ceramic capacitor SMD-0603 10uF /6.3V X5R# M +-20%, Samsung, RoHS"
"C16","1 uf","BottomLayer","CAPC1608X90X35LL15T15","7.2500","12.0000","45","CL10 Series 1 uF 16 V ±10 % Tolerance X5R SMT Multilayer Ceramic Capacitor"
"C15","100 nf","TopLayer","CAPC1608X87X35LL15T15","3.7500","4.2500","270","Ceramic capacitor SMD-0603 100nF /50V X7R# K +-10%, Samsung, RoHS"
"C14","100 nf","BottomLayer","CAPC1608X87X35LL15T15","9.5000","16.0000","315","Ceramic capacitor SMD-0603 100nF /50V X7R# K +-10%, Samsung, RoHS"
"C13","100 nf","BottomLayer","CAPC1608X87X35LL15T15","5.0000","16.4000","135","Ceramic capacitor SMD-0603 100nF /50V X7R# K +-10%, Samsung, RoHS"
"C12","10 uf","TopLayer","PCB-2sbl9jnrnicgpdohsx1t-1","3.5000","7.5000","135","Ceramic capacitor SMD-0603 10uF /6.3V X5R# M +-20%, Samsung, RoHS"
"C11","1 uf","BottomLayer","CAPC1608X90X35LL15T15","5.7500","25.2500","0","CL10 Series 1 uF 16 V ±10 % Tolerance X5R SMT Multilayer Ceramic Capacitor"
"C10","2.2 uf","BottomLayer","CAPC1608X90X35NL15T15","4.0000","20.5000","225","CAP, 2.2UF, 16V, MLCC, 0603; SVHC: No SVHC (15-Jan-2019) RoHS Compliant: Yes"
"C9","10 uf","BottomLayer","PCB-2sbl9jnrnicgpdohsx1t-1","5.7500","23.2500","270","Ceramic capacitor SMD-0603 10uF /6.3V X5R# M +-20%, Samsung, RoHS"
"C8","100 nf","BottomLayer","CAPC1608X87X35LL15T15","3.2500","23.2500","270","Ceramic capacitor SMD-0603 100nF /50V X7R# K +-10%, Samsung, RoHS"
"C7","1 uf","BottomLayer","CAPC1608X90X35LL15T15","4.5000","23.2500","270","CL10 Series 1 uF 16 V ±10 % Tolerance X5R SMT Multilayer Ceramic Capacitor"
"C6","100 nf","BottomLayer","CAPC1608X87X35LL15T15","4.2500","12.5000","315","Ceramic capacitor SMD-0603 100nF /50V X7R# K +-10%, Samsung, RoHS"
